policy_id,insurer_name,postcode,region_name,wind_risk_band,building_type,sum_insured,mitigation_flag,annual_premium,policy_start_date,policy_end_date
POL-000018,Northbeam General,4825,Cloncurry QLD,B-F,SME,1826799,None,3032.78,2024-03-21,2025-03-21
POL-000019,Northbeam General,4737,Bowen QLD,Q-S,Home,526183,None,3742.98,2025-02-19,2026-02-19
POL-000020,Pacific Rim Insurance,4720,Charters Towers QLD,L-P,Strata,7007072,None,31440.75,2024-06-03,2025-06-03
POL-000021,Pacific Rim Insurance,4703,Rockhampton QLD,Q-S,Home,815579,None,5782.09,2025-08-02,2026-08-02
POL-000022,Coral Coast Mutual,4870,Cairns QLD,T-W,Home,367301,None,3788.82,2025-06-18,2026-06-18
POL-000023,Southern Cross Insurance,4350,Toowoomba QLD,B-F,Home,332582,None,549.04,2024-05-12,2025-05-12
POL-000024,Coral Coast Mutual,4825,Cloncurry QLD,B-F,SME,2393478,Roof Tie-Down,3989.3,2023-06-19,2024-06-18
POL-000025,Northbeam General,4720,Charters Towers QLD,L-P,SME,1288346,Elevated Slab,4993.94,2025-02-12,2026-02-12
POL-000026,Outback Assurance Group,6721,Port Hedland WA,T-W,Home,641559,None,6019.36,2024-06-13,2025-06-13
POL-000027,Pacific Rim Insurance,0800,Darwin NT,T-W,Home,272056,Roof Tie-Down,2235.65,2023-08-24,2024-08-23
POL-000028,Southern Cross Insurance,4350,Toowoomba QLD,B-F,Home,311733,None,530.7,2025-07-16,2026-07-16
POL-000029,Pacific Rim Insurance,6714,Karratha WA,T-W,Home,758993,Shutters Installed,5778.59,2023-05-16,2024-05-15
POL-000030,Outback Assurance Group,4802,Townsville QLD,T-W,Home,676833,None,6031.79,2023-04-10,2024-04-09
POL-000031,Southern Cross Insurance,4680,Gladstone QLD,L-P,Home,306802,None,1333.25,2024-10-23,2025-10-23
POL-000032,Pacific Rim Insurance,4740,Mackay QLD,Q-S,Home,364576,Shutters Installed,1913.03,2023-07-14,2024-07-13
POL-000033,Southern Cross Insurance,4737,Bowen QLD,Q-S,Home,735100,Roof Tie-Down,3858.2,2025-08-03,2026-08-03
POL-000034,Southern Cross Insurance,4737,Bowen QLD,Q-S,SME,810658,None,4795.66,2024-07-07,2025-07-07
POL-000035,Northbeam General,4825,Mount Isa QLD,B-F,Strata,4790237,None,8461.04,2024-05-07,2025-05-07
POL-000036,Outback Assurance Group,4655,Hervey Bay QLD,L-P,Strata,2036161,Roof Tie-Down,7974.65,2023-09-29,2024-09-28
POL-000037,Northbeam General,6721,Port Hedland WA,T-W,Home,832765,None,8167.39,2024-05-13,2025-05-13
POL-000038,Coral Coast Mutual,4703,Rockhampton QLD,Q-S,Home,857314,None,5835.27,2023-03-04,2024-03-03
POL-000039,Pacific Rim Insurance,4740,Mackay QLD,Q-S,Home,806926,None,4885.66,2025-09-10,2026-09-10
POL-000040,Outback Assurance Group,4825,Mount Isa QLD,B-F,SME,685048,Roof Tie-Down,1084.85,2023-08-29,2024-08-28
POL-000041,Southern Cross Insurance,0800,Darwin NT,T-W,Strata,11712650,None,113373.61,2024-09-26,2025-09-26
POL-000042,Coral Coast Mutual,4879,Innisfail QLD,T-W,SME,1726951,None,17832.4,2023-07-29,2024-07-28
POL-000043,Southern Cross Insurance,4350,Toowoomba QLD,B-F,Home,564569,Roof Tie-Down,856.4,2025-08-09,2026-08-09
POL-000044,Pacific Rim Insurance,4870,Cairns QLD,T-W,Home,354837,None,3083.25,2023-08-07,2024-08-06
POL-000045,Coral Coast Mutual,6000,Perth WA,B-F,Home,322132,Shutters Installed,530.25,2024-01-14,2025-01-13
POL-000046,Pacific Rim Insurance,4700,Rockhampton QLD,Q-S,Home,567212,None,3769.23,2025-04-06,2026-04-06
POL-000047,Coral Coast Mutual,4870,Cairns QLD,T-W,SME,834473,None,8623.42,2023-05-18,2024-05-17
POL-000048,Northbeam General,0800,Darwin NT,T-W,SME,1051995,None,9538.92,2024-09-11,2025-09-11
POL-000049,Southern Cross Insurance,6714,Karratha WA,T-W,Home,526807,None,5010.08,2023-09-15,2024-09-14
POL-000050,Northbeam General,4825,Mount Isa QLD,B-F,Home,296228,None,480.27,2025-02-28,2026-02-28
POL-000051,Southern Cross Insurance,6000,Perth WA,B-F,Home,698462,Elevated Slab,1081.66,2023-04-25,2024-04-24
POL-000052,Northbeam General,0810,Darwin NT,T-W,Home,860805,None,8263.55,2024-03-16,2025-03-16
POL-000053,Northbeam General,4740,Mackay QLD,Q-S,Home,291832,None,2048.25,2023-08-04,2024-08-03
POL-000054,Northbeam General,0800,Darwin NT,T-W,Home,676117,None,7031.81,2025-02-06,2026-02-06
POL-000055,Northbeam General,4350,Toowoomba QLD,B-F,SME,1142611,None,2213.59,2023-01-26,2024-01-26
POL-000056,Southern Cross Insurance,6714,Karratha WA,T-W,SME,1440888,Elevated Slab,11092.52,2025-03-17,2026-03-17
POL-000057,Outback Assurance Group,4655,Hervey Bay QLD,L-P,SME,1332954,None,5262.02,2025-07-29,2026-07-29
POL-000058,Northbeam General,4680,Gladstone QLD,L-P,Home,488651,None,1938.6,2024-11-06,2025-11-06
POL-000059,Outback Assurance Group,4655,Hervey Bay QLD,L-P,Home,542683,None,2211.41,2024-06-05,2025-06-05
POL-000060,Coral Coast Mutual,4825,Cloncurry QLD,B-F,Home,523903,Roof Tie-Down,750.04,2025-09-12,2026-09-12
POL-000061,Southern Cross Insurance,4740,Mackay QLD,Q-S,Home,578914,Elevated Slab,3157.81,2024-06-07,2025-06-07
POL-000062,Pacific Rim Insurance,4655,Hervey Bay QLD,L-P,SME,586170,Roof Tie-Down,2180.01,2023-01-02,2024-01-02
POL-000063,Coral Coast Mutual,4825,Cloncurry QLD,B-F,SME,1226425,None,2147.62,2023-03-13,2024-03-12
POL-000064,Outback Assurance Group,4810,Townsville QLD,T-W,Home,564910,None,5374.29,2024-11-13,2025-11-13
POL-000065,Outback Assurance Group,6714,Karratha WA,T-W,Home,383470,Shutters Installed,2905.68,2024-11-11,2025-11-11
POL-000066,Coral Coast Mutual,4700,Rockhampton QLD,Q-S,Home,824553,Shutters Installed,4859.72,2023-11-08,2024-11-07
POL-000067,Northbeam General,4703,Rockhampton QLD,Q-S,Home,587902,None,3794.6,2024-03-28,2025-03-28
POL-000068,Pacific Rim Insurance,4720,Charters Towers QLD,L-P,Home,427934,None,1854.42,2023-10-18,2024-10-17
POL-000069,Northbeam General,4810,Townsville QLD,T-W,Home,496277,None,4877.57,2023-08-19,2024-08-18
POL-000070,Southern Cross Insurance,0810,Darwin NT,T-W,Home,748216,Shutters Installed,6176.3,2025-02-25,2026-02-25
POL-000071,Outback Assurance Group,4737,Bowen QLD,Q-S,Home,453880,None,3079.05,2024-01-29,2025-01-28
POL-000072,Southern Cross Insurance,4655,Hervey Bay QLD,L-P,Home,255814,None,1158.8,2025-05-31,2026-05-31
POL-000073,Northbeam General,4879,Innisfail QLD,T-W,Home,793118,None,7481.2,2024-07-24,2025-07-24
POL-000074,Coral Coast Mutual,0800,Darwin NT,T-W,Home,806932,None,8413.88,2024-09-01,2025-09-01
POL-000075,Pacific Rim Insurance,4737,Bowen QLD,Q-S,Home,779298,None,4991.22,2025-07-17,2026-07-17
POL-000076,Northbeam General,4737,Bowen QLD,Q-S,SME,2390928,None,15385.84,2025-02-08,2026-02-08
POL-000077,Coral Coast Mutual,6000,Perth WA,B-F,SME,1403469,None,2412.36,2023-03-21,2024-03-20
POL-000078,Northbeam General,4350,Toowoomba QLD,B-F,Home,816390,Shutters Installed,1144.3,2023-06-04,2024-06-03
POL-000079,Pacific Rim Insurance,4655,Hervey Bay QLD,L-P,SME,669395,None,2763.59,2023-12-05,2024-12-04
POL-000080,Pacific Rim Insurance,4737,Bowen QLD,Q-S,Home,690552,Shutters Installed,3730.96,2025-02-27,2026-02-27
POL-000081,Coral Coast Mutual,4870,Cairns QLD,T-W,SME,1995433,None,18869.34,2025-08-23,2026-08-23
POL-000082,Pacific Rim Insurance,6721,Port Hedland WA,T-W,SME,2157502,None,20652.94,2025-01-22,2026-01-22
POL-000083,Outback Assurance Group,4810,Townsville QLD,T-W,SME,1544773,None,14487.02,2023-01-30,2024-01-30
POL-000084,Northbeam General,6714,Karratha WA,T-W,SME,1092247,None,11082.99,2025-07-30,2026-07-30
POL-000085,Southern Cross Insurance,4810,Townsville QLD,T-W,Home,870644,None,8377.64,2023-01-28,2024-01-28
POL-000086,Northbeam General,4879,Innisfail QLD,T-W,Home,302727,None,2737.95,2023-12-02,2024-12-01
POL-000087,Outback Assurance Group,4737,Bowen QLD,Q-S,Home,647542,None,4022.36,2025-09-01,2026-09-01
POL-000088,Coral Coast Mutual,6000,Perth WA,B-F,SME,2662487,None,4363.15,2025-09-01,2026-09-01
POL-000089,Northbeam General,4350,Toowoomba QLD,B-F,SME,568854,None,1076.0,2025-08-30,2026-08-30
POL-000090,Southern Cross Insurance,4703,Rockhampton QLD,Q-S,SME,1400530,None,8422.91,2024-11-16,2025-11-16
POL-000091,Pacific Rim Insurance,4802,Townsville QLD,T-W,Strata,6299055,None,63035.31,2023-06-21,2024-06-20
POL-000092,Pacific Rim Insurance,4810,Townsville QLD,T-W,Strata,4747534,None,49293.5,2023-04-21,2024-04-20
POL-000093,Northbeam General,4870,Cairns QLD,T-W,Strata,8296605,None,77188.65,2025-01-02,2026-01-02
POL-000094,Coral Coast Mutual,4825,Mount Isa QLD,B-F,Home,504646,None,836.04,2025-03-02,2026-03-02
POL-000095,Pacific Rim Insurance,4810,Townsville QLD,T-W,SME,2773693,None,27839.58,2023-12-22,2024-12-21
POL-000096,Outback Assurance Group,4879,Innisfail QLD,T-W,SME,1831227,Roof Tie-Down,13345.86,2024-03-06,2025-03-06
POL-000097,Northbeam General,0800,Darwin NT,T-W,Home,732071,Elevated Slab,6156.57,2024-03-21,2025-03-21
POL-000098,Outback Assurance Group,4720,Charters Towers QLD,L-P,Strata,11029043,Shutters Installed,41536.41,2024-04-21,2025-04-21
POL-000099,Northbeam General,4802,Townsville QLD,T-W,Home,340872,None,3095.11,2024-04-06,2025-04-06
POL-000100,Coral Coast Mutual,4737,Bowen QLD,Q-S,Home,602737,None,3548.5,2025-05-21,2026-05-21
POL-000101,Pacific Rim Insurance,4700,Rockhampton QLD,Q-S,Home,520902,Elevated Slab,2786.08,2025-06-20,2026-06-20
POL-000102,Outback Assurance Group,6000,Perth WA,B-F,Home,450337,None,743.43,2025-01-07,2026-01-07
POL-000103,Outback Assurance Group,0850,Alice Springs NT,B-F,Home,749219,Shutters Installed,1179.75,2024-05-17,2025-05-17
POL-000104,Coral Coast Mutual,4870,Cairns QLD,T-W,Home,505123,Shutters Installed,3920.78,2024-08-18,2025-08-18
POL-000105,Outback Assurance Group,0850,Alice Springs NT,B-F,Home,827124,Shutters Installed,1222.67,2024-12-20,2025-12-20
POL-000106,Pacific Rim Insurance,6000,Perth WA,B-F,Home,451939,Shutters Installed,665.96,2025-01-30,2026-01-30
POL-000107,Pacific Rim Insurance,4700,Rockhampton QLD,Q-S,Home,539930,None,3667.18,2025-09-27,2026-09-27
POL-000108,Northbeam General,4810,Townsville QLD,T-W,Home,453547,Roof Tie-Down,3513.15,2024-01-05,2025-01-04
POL-000109,Pacific Rim Insurance,6721,Port Hedland WA,T-W,Home,537636,None,4643.28,2023-02-25,2024-02-25
POL-000110,Pacific Rim Insurance,6721,Port Hedland WA,T-W,SME,2458894,Roof Tie-Down,18277.4,2023-01-13,2024-01-13
POL-000111,Outback Assurance Group,6721,Port Hedland WA,T-W,Home,443319,Elevated Slab,3913.08,2023-09-16,2024-09-15
POL-000112,Southern Cross Insurance,0800,Darwin NT,T-W,SME,710723,Elevated Slab,5827.49,2024-12-03,2025-12-03
POL-000113,Southern Cross Insurance,0810,Darwin NT,T-W,Home,568594,None,4953.5,2023-09-12,2024-09-11
POL-000114,Outback Assurance Group,4825,Cloncurry QLD,B-F,SME,2993834,None,5093.25,2024-06-19,2025-06-19
POL-000115,Pacific Rim Insurance,4737,Bowen QLD,Q-S,Strata,11873813,Shutters Installed,72032.3,2023-11-09,2024-11-08
POL-000116,Northbeam General,4810,Townsville QLD,T-W,Home,354053,None,3664.6,2023-08-01,2024-07-31
POL-000117,Southern Cross Insurance,6000,Perth WA,B-F,SME,1129026,Roof Tie-Down,1745.37,2023-06-10,2024-06-09
POL-000118,Coral Coast Mutual,4879,Innisfail QLD,T-W,Home,555407,None,4783.17,2023-10-23,2024-10-22
POL-000119,Pacific Rim Insurance,4737,Bowen QLD,Q-S,Home,527405,Shutters Installed,3081.65,2024-10-02,2025-10-02
POL-000120,Northbeam General,4703,Rockhampton QLD,Q-S,Home,406226,None,2856.15,2025-04-26,2026-04-26
POL-000121,Coral Coast Mutual,4825,Mount Isa QLD,B-F,Home,873948,None,1651.43,2024-08-05,2025-08-05
POL-000122,Pacific Rim Insurance,4737,Bowen QLD,Q-S,Home,672060,None,4755.15,2024-05-27,2025-05-27
POL-000123,Coral Coast Mutual,0850,Alice Springs NT,B-F,Home,703014,None,1324.78,2024-09-10,2025-09-10
POL-000124,Coral Coast Mutual,4870,Cairns QLD,T-W,Home,853139,None,8246.04,2023-01-22,2024-01-22
POL-000125,Coral Coast Mutual,4802,Townsville QLD,T-W,Home,743355,None,7088.66,2024-03-28,2025-03-28
POL-000126,Coral Coast Mutual,4700,Rockhampton QLD,Q-S,Strata,10249789,Elevated Slab,61942.61,2024-04-26,2025-04-26
POL-000127,Outback Assurance Group,4879,Innisfail QLD,T-W,Home,418637,None,3841.68,2024-12-11,2025-12-11
POL-000128,Coral Coast Mutual,6721,Port Hedland WA,T-W,SME,2707272,Elevated Slab,19835.55,2023-04-01,2024-03-31
POL-000129,Southern Cross Insurance,6000,Perth WA,B-F,Home,673808,None,1301.37,2025-04-24,2026-04-24
POL-000130,Outback Assurance Group,4825,Cloncurry QLD,B-F,Home,793623,Roof Tie-Down,1180.68,2025-02-13,2026-02-13
POL-000131,Outback Assurance Group,4737,Bowen QLD,Q-S,SME,2703594,Shutters Installed,13835.02,2023-10-22,2024-10-21
POL-000132,Northbeam General,0850,Alice Springs NT,B-F,Home,888448,None,1694.94,2024-12-27,2025-12-27
POL-000133,Southern Cross Insurance,6721,Port Hedland WA,T-W,Home,347736,None,3121.6,2025-05-11,2026-05-11
POL-000134,Coral Coast Mutual,4737,Bowen QLD,Q-S,Strata,4583206,None,29781.16,2025-01-03,2026-01-03
POL-000135,Outback Assurance Group,4720,Charters Towers QLD,L-P,SME,2423749,Elevated Slab,9483.87,2023-09-07,2024-09-06
POL-000136,Northbeam General,4825,Cloncurry QLD,B-F,Home,878492,Roof Tie-Down,1346.31,2025-06-19,2026-06-19
POL-000137,Pacific Rim Insurance,4825,Mount Isa QLD,B-F,Home,685098,None,1193.68,2025-03-17,2026-03-17
POL-000138,Outback Assurance Group,6000,Perth WA,B-F,SME,1652233,Shutters Installed,2698.54,2024-08-16,2025-08-16
POL-000139,Outback Assurance Group,0810,Darwin NT,T-W,Home,598588,None,5745.63,2024-07-10,2025-07-10
POL-000140,Northbeam General,4737,Bowen QLD,Q-S,Strata,13702081,None,84410.95,2024-01-28,2025-01-27
POL-000141,Northbeam General,4879,Innisfail QLD,T-W,Home,649749,None,6031.98,2024-11-10,2025-11-10
POL-000142,Outback Assurance Group,0850,Alice Springs NT,B-F,Strata,11901584,Roof Tie-Down,17597.57,2023-04-13,2024-04-12
POL-000143,Northbeam General,0800,Darwin NT,T-W,Home,401157,None,3742.38,2024-11-01,2025-11-01
POL-000144,Southern Cross Insurance,4825,Mount Isa QLD,B-F,Home,605007,None,1115.86,2024-02-12,2025-02-11
POL-000145,Outback Assurance Group,6714,Karratha WA,T-W,SME,1993874,None,20662.25,2024-10-03,2025-10-03
POL-000146,Southern Cross Insurance,4825,Cloncurry QLD,B-F,Home,551338,Roof Tie-Down,927.47,2025-02-03,2026-02-03
POL-000147,Northbeam General,4879,Innisfail QLD,T-W,Strata,13809328,None,140964.25,2024-03-30,2025-03-30
POL-000148,Outback Assurance Group,6721,Port Hedland WA,T-W,Strata,2941524,Roof Tie-Down,22771.19,2024-01-19,2025-01-18
POL-000149,Pacific Rim Insurance,0810,Darwin NT,T-W,Home,438803,Elevated Slab,3309.46,2023-03-22,2024-03-21
POL-000150,Coral Coast Mutual,4655,Hervey Bay QLD,L-P,Home,861484,Shutters Installed,2855.98,2024-04-17,2025-04-17
POL-000151,Pacific Rim Insurance,4737,Bowen QLD,Q-S,Home,737853,Roof Tie-Down,4403.75,2024-11-24,2025-11-24
POL-000152,Outback Assurance Group,4700,Rockhampton QLD,Q-S,Home,866113,None,5403.59,2025-09-12,2026-09-12
POL-000153,Northbeam General,6000,Perth WA,B-F,Home,653380,Shutters Installed,1070.32,2023-04-20,2024-04-19
POL-000154,Outback Assurance Group,4655,Hervey Bay QLD,L-P,Home,559571,None,2125.49,2025-04-29,2026-04-29
POL-000155,Outback Assurance Group,6000,Perth WA,B-F,Home,301426,None,587.12,2025-02-02,2026-02-02
POL-000156,Pacific Rim Insurance,6721,Port Hedland WA,T-W,SME,1877741,Shutters Installed,14310.63,2023-07-14,2024-07-13
POL-000157,Southern Cross Insurance,6000,Perth WA,B-F,SME,973693,None,1797.6,2025-07-14,2026-07-14
POL-000158,Coral Coast Mutual,6721,Port Hedland WA,T-W,SME,1930338,Roof Tie-Down,16311.86,2023-04-03,2024-04-02
POL-000159,Coral Coast Mutual,6714,Karratha WA,T-W,SME,954318,Roof Tie-Down,8147.7,2025-06-16,2026-06-16
POL-000160,Outback Assurance Group,4720,Charters Towers QLD,L-P,Home,422537,Shutters Installed,1435.14,2025-04-24,2026-04-24
POL-000161,Northbeam General,6721,Port Hedland WA,T-W,SME,883056,Shutters Installed,7085.51,2023-03-19,2024-03-18
POL-000162,Pacific Rim Insurance,4350,Toowoomba QLD,B-F,SME,2066864,None,4068.04,2025-04-03,2026-04-03
POL-000163,Coral Coast Mutual,4680,Gladstone QLD,L-P,Home,527304,Elevated Slab,1896.24,2024-04-10,2025-04-10
POL-000164,Outback Assurance Group,6000,Perth WA,B-F,Home,639518,None,1060.96,2023-08-28,2024-08-27
POL-000165,Southern Cross Insurance,4870,Cairns QLD,T-W,Home,593939,None,6111.03,2023-08-15,2024-08-14
POL-000166,Southern Cross Insurance,4737,Bowen QLD,Q-S,Strata,8850067,Shutters Installed,45147.97,2023-02-16,2024-02-16
POL-000167,Outback Assurance Group,6721,Port Hedland WA,T-W,Strata,5939290,Roof Tie-Down,51674.34,2023-05-19,2024-05-18
POL-000168,Northbeam General,4737,Bowen QLD,Q-S,Home,816432,None,5220.97,2025-01-30,2026-01-30
POL-000169,Coral Coast Mutual,4879,Innisfail QLD,T-W,SME,2982232,None,27810.57,2025-09-01,2026-09-01
POL-000170,Coral Coast Mutual,4740,Mackay QLD,Q-S,SME,2265189,Shutters Installed,13642.92,2025-05-25,2026-05-25
POL-000171,Coral Coast Mutual,0800,Darwin NT,T-W,Strata,12818398,Elevated Slab,100582.87,2024-02-12,2025-02-11
POL-000172,Pacific Rim Insurance,4703,Rockhampton QLD,Q-S,Strata,9628891,None,57476.54,2023-08-06,2024-08-05
POL-000173,Southern Cross Insurance,4870,Cairns QLD,T-W,Home,382040,Shutters Installed,3262.04,2023-07-30,2024-07-29
POL-000174,Pacific Rim Insurance,4825,Cloncurry QLD,B-F,Home,494316,Shutters Installed,730.37,2023-06-01,2024-05-31
POL-000175,Northbeam General,4870,Cairns QLD,T-W,Home,386306,None,3699.42,2025-03-28,2026-03-28
POL-000176,Northbeam General,0800,Darwin NT,T-W,SME,462328,Roof Tie-Down,3627.45,2025-03-18,2026-03-18
POL-000177,Pacific Rim Insurance,4802,Townsville QLD,T-W,Home,304944,Roof Tie-Down,2278.61,2024-03-07,2025-03-07
POL-000178,Outback Assurance Group,0800,Darwin NT,T-W,SME,1918501,None,18274.01,2023-04-22,2024-04-21
POL-000179,Southern Cross Insurance,4720,Charters Towers QLD,L-P,Home,796781,None,3213.71,2024-10-20,2025-10-20
POL-000180,Outback Assurance Group,4740,Mackay QLD,Q-S,Strata,9151684,None,61699.98,2024-05-17,2025-05-17
POL-000181,Pacific Rim Insurance,4825,Mount Isa QLD,B-F,SME,1022157,Shutters Installed,1428.05,2023-10-09,2024-10-08
POL-000182,Pacific Rim Insurance,4802,Townsville QLD,T-W,Home,876410,Shutters Installed,7120.26,2024-04-09,2025-04-09
POL-000183,Pacific Rim Insurance,4810,Townsville QLD,T-W,Home,369971,None,3762.72,2024-10-28,2025-10-28
POL-000184,Outback Assurance Group,4703,Rockhampton QLD,Q-S,Home,683914,None,4302.24,2024-04-09,2025-04-09
POL-000185,Northbeam General,4879,Innisfail QLD,T-W,SME,1710818,Shutters Installed,14271.04,2024-01-19,2025-01-18
POL-000186,Coral Coast Mutual,0850,Alice Springs NT,B-F,Home,347758,None,617.44,2025-02-01,2026-02-01
POL-000187,Southern Cross Insurance,0810,Darwin NT,T-W,Home,838866,None,8067.54,2024-11-17,2025-11-17
POL-000188,Southern Cross Insurance,4879,Innisfail QLD,T-W,Home,693481,None,7073.07,2025-01-08,2026-01-08
POL-000189,Outback Assurance Group,6721,Port Hedland WA,T-W,Home,855991,Elevated Slab,6922.37,2023-06-08,2024-06-07
POL-000190,Coral Coast Mutual,4350,Toowoomba QLD,B-F,SME,2733146,Elevated Slab,4070.95,2025-02-19,2026-02-19
POL-000191,Pacific Rim Insurance,4802,Townsville QLD,T-W,Home,838215,Elevated Slab,7410.99,2025-04-18,2026-04-18
POL-000192,Coral Coast Mutual,4810,Townsville QLD,T-W,SME,2954309,None,30474.47,2025-04-29,2026-04-29
POL-000193,Southern Cross Insurance,4870,Cairns QLD,T-W,Home,573993,None,5912.66,2023-12-26,2024-12-25
POL-000194,Southern Cross Insurance,4700,Rockhampton QLD,Q-S,SME,2081011,None,12362.16,2025-01-28,2026-01-28
POL-000195,Coral Coast Mutual,4825,Mount Isa QLD,B-F,SME,2160905,Shutters Installed,3275.53,2023-06-11,2024-06-10
POL-000196,Southern Cross Insurance,6721,Port Hedland WA,T-W,SME,2780659,None,26924.63,2025-06-23,2026-06-23
POL-000197,Outback Assurance Group,0810,Darwin NT,T-W,Home,335544,None,3042.38,2024-11-08,2025-11-08
POL-000198,Coral Coast Mutual,0850,Alice Springs NT,B-F,Home,476040,Elevated Slab,765.48,2023-04-27,2024-04-26
POL-000199,Coral Coast Mutual,4879,Innisfail QLD,T-W,Home,871946,None,8261.34,2024-11-14,2025-11-14
POL-000200,Northbeam General,4740,Mackay QLD,Q-S,Home,307443,None,1801.61,2023-11-05,2024-11-04
POL-000201,Outback Assurance Group,0810,Darwin NT,T-W,SME,903250,Shutters Installed,6575.65,2025-02-03,2026-02-03
POL-000202,Coral Coast Mutual,4700,Rockhampton QLD,Q-S,Home,491288,None,3193.54,2025-05-03,2026-05-03
POL-000203,Southern Cross Insurance,4825,Mount Isa QLD,B-F,Home,707409,None,1150.78,2025-08-01,2026-08-01
POL-000204,Southern Cross Insurance,6714,Karratha WA,T-W,Home,687983,None,6260.7,2024-02-19,2025-02-18
POL-000205,Coral Coast Mutual,6714,Karratha WA,T-W,Home,732446,None,7420.3,2025-07-30,2026-07-30
POL-000206,Southern Cross Insurance,4825,Mount Isa QLD,B-F,Home,706839,Roof Tie-Down,1100.69,2024-06-20,2025-06-20
POL-000207,Southern Cross Insurance,4655,Hervey Bay QLD,L-P,SME,1329340,None,5396.82,2023-06-22,2024-06-21
POL-000208,Coral Coast Mutual,4720,Charters Towers QLD,L-P,Home,453322,None,2058.52,2023-12-24,2024-12-23
POL-000209,Southern Cross Insurance,0810,Darwin NT,T-W,Home,456854,Roof Tie-Down,3448.2,2023-06-06,2024-06-05
POL-000210,Pacific Rim Insurance,4700,Rockhampton QLD,Q-S,Strata,9783840,None,66831.25,2025-02-17,2026-02-17
POL-000211,Coral Coast Mutual,4737,Bowen QLD,Q-S,SME,1755633,None,12242.94,2024-10-04,2025-10-04
POL-000212,Southern Cross Insurance,0810,Darwin NT,T-W,Home,567530,None,5711.07,2024-08-28,2025-08-28
POL-000213,Coral Coast Mutual,4680,Gladstone QLD,L-P,Home,723866,Shutters Installed,2345.22,2024-01-13,2025-01-12
POL-000214,Outback Assurance Group,4825,Mount Isa QLD,B-F,Home,344682,None,634.7,2024-06-03,2025-06-03
POL-000215,Pacific Rim Insurance,4737,Bowen QLD,Q-S,Home,293015,None,1885.45,2025-04-09,2026-04-09
POL-000216,Southern Cross Insurance,4703,Rockhampton QLD,Q-S,Home,408189,None,2896.12,2024-04-06,2025-04-06
POL-000217,Outback Assurance Group,6714,Karratha WA,T-W,Strata,12840213,Roof Tie-Down,96894.59,2023-09-11,2024-09-10
POL-000218,Outback Assurance Group,4737,Bowen QLD,Q-S,Home,631574,None,4000.84,2023-10-17,2024-10-16
POL-000219,Coral Coast Mutual,4879,Innisfail QLD,T-W,SME,619636,None,6227.05,2024-10-24,2025-10-24
POL-000220,Pacific Rim Insurance,4825,Mount Isa QLD,B-F,Home,655341,None,1128.69,2025-01-11,2026-01-11
POL-000221,Outback Assurance Group,0810,Darwin NT,T-W,Home,398298,None,4099.21,2023-11-14,2024-11-13
POL-000222,Coral Coast Mutual,0810,Darwin NT,T-W,Home,574620,None,5523.22,2024-10-20,2025-10-20
POL-000223,Outback Assurance Group,0810,Darwin NT,T-W,SME,2607853,None,22760.2,2024-11-17,2025-11-17
POL-000224,Outback Assurance Group,4720,Charters Towers QLD,L-P,Home,439019,Elevated Slab,1708.72,2023-12-16,2024-12-15
